City,County,Name,Phone,Street1,full_address,latitude,longitude
CitySort ascendingSort descending,CountySort ascendingSort descending,NameSort ascendingSort descending,PhoneSort ascendingSort descending,Street1Sort ascendingSort descending,"Street1Sort ascendingSort descending, CitySort ascendingSort descending, CountySort ascendingSort descending, AR",33.999508,-118.001576
Stuttgart,Arkansas,Bethea Brothers Drug Company Inc. (Coker Hampton),870-673-2691,218 South Main Street,"218 South Main Street, Stuttgart, Arkansas, AR",34.500942477625976,-91.55264469134244
Wynne,Cross,Caldwell Pharmacy,870-238-7085,804 South Falls Boulevard,"804 South Falls Boulevard, Wynne, Cross, AR",35.21757383868397,-90.78736818680656
Manila,Mississippi,"Delta Drug, Inc.",870-561-3113,257 S. Hwy 18 Bypass,"257 S. Hwy 18 Bypass, Manila, Mississippi, AR",33.398489,-91.471809
Fairfield Bay,Van Buren,Fairfield Bay Pharmacy,501-884-3388,367 Dave Creek Parkway,"367 Dave Creek Parkway, Fairfield Bay, Van Buren, AR",35.61187468916148,-92.26104855396925
Monette,Craighead,McFarlin Pharmacy Inc,870-486-5220,101 West Drew Street,"101 West Drew Street, Monette, Craighead, AR",33.94254,-91.845168
Jonesboro,Craighead,Super V Drugs,870-972-6470,1000-A East Matthews,"1000-A East Matthews, Jonesboro, Craighead, AR",35.83590609147377,-90.68561492616908
Berryville,Carroll,Economy Drug,870-423-2094,1006 W. Trimble,"1006 W. Trimble, Berryville, Carroll, AR",36.37265441526343,-93.5808283822779
Leachville,Craighead,Southern Pharmacy of Arkansas- Leachville,870-539-6831,109 South Main,"109 South Main, Leachville, Craighead, AR",35.93737,-90.25832
Lepanto,Poinsett,Southern Pharmacy of Arkansas- Lepanto,870-475-2617,730 Greenwood Avenue,"730 Greenwood Avenue, Lepanto, Poinsett, AR",35.58856187588984,-90.32266975785288
Lake City,Craighead,Southern Pharmacy of Arkansas - Lake City,870-237-8010,803 Highway 18,"803 Highway 18, Lake City, Craighead, AR",35.82377565,-90.42846625
Jonesboro,Craighead,Southern Pharmacy of Arkansas- Jonesboro,870-972-1751,3001 Apache Drive,"3001 Apache Drive, Jonesboro, Craighead, AR",35.809229,-90.669068
Marked Tree,Poinsett,Southern Pharmacy of Arkansas- Marked Tree,870-358-2135,203 Newsome Drive,"203 Newsome Drive, Marked Tree, Poinsett, AR",35.52936,-90.43291
Monette,Craighead,Southern Pharmacy- Monette,870-486-2111,214 West Drew Avenue,"214 West Drew Avenue, Monette, Craighead, AR",35.890533000000005,-90.34278
Little Rock,Pulaski,Cornerstone Pharmacy at Chenal,501-821-2300,16115 Saint Vincent Way,"16115 Saint Vincent Way, Little Rock, Pulaski, AR",34.763451,-92.458266
Prairie Grove,Washington,Collier Drug Prairie Grove,479-846-2195,801 E Douglas,"801 E Douglas, Prairie Grove, Washington, AR",33.74123,-94.134067
Fayetteville,Washington,Collier Drug North Hills,479-443-9200,3380 N Futrall Drive,"3380 N Futrall Drive, Fayetteville, Washington, AR",36.1129653,-94.15429160757154
Centerton,Benton,Collier Drug Centerton,479-795-8199,991 W Centerton Blvd,"991 W Centerton Blvd, Centerton, Benton, AR",36.3582247,-94.2962271
Fayetteville,Washington,Collier Drug Elkins,479-442-6060,2491 N Center St,"2491 N Center St, Fayetteville, Washington, AR",33.17261,-91.936672
Springdale,Washington,Collier Drug Willow Creek,479-521-7876,5201 Willow Creek Drive,"5201 Willow Creek Drive, Springdale, Washington, AR",36.13875145,-94.18575410776212
Springdale,Washington,Collier Drug Harber,479-361-5727,171 N Maestri Road,"171 N Maestri Road, Springdale, Washington, AR",36.1774415,-94.2209049
Farmington,Washington,Collier Drug Farmington,479-267-4303,197 E Main,"197 E Main, Farmington, Washington, AR",33.965059,-94.158968
Fayetteville,Washington,Collier Drug Dickson,479-442-6262,100 W. Dickson,"100 W. Dickson, Fayetteville, Washington, AR",36.06677725,-94.16104169178348
Little Rock,Pulaski,The Pharmacy at Wellington,501-708-4320,15400 Chenal Parkway,"15400 Chenal Parkway, Little Rock, Pulaski, AR",34.75779845,-92.44168348983018
Hot Springs,Garland,Smith Drug and Compounding- Mercy Lane,501-624-2900,1 Mercy Lane,"1 Mercy Lane, Hot Springs, Garland, AR",34.467986,-93.069257
Hot Springs,Garland,Smith Drug and Compounding- Airport Rd.,501-767-2220,1629 Airport Rd.,"1629 Airport Rd., Hot Springs, Garland, AR",34.467121898907855,-93.14141655377888
Conway,Faulkner,Cornerstone Pharmacy Conway,501-328-3282,815 Hogan Lane,"815 Hogan Lane, Conway, Faulkner, AR",35.08981436656949,-92.49810301689148
North Little Rock,Pulaski,Cornerstone Pharmacy Rose City,501-945-3264,4307 E. Broadway St,"4307 E. Broadway St, North Little Rock, Pulaski, AR",34.756038581167715,-92.21766558419638
Jonesboro,Craighead,St. Bernards Medical Center,870-207-4260,225 E Washington Ave,"225 E Washington Ave, Jonesboro, Craighead, AR",35.8366576,-90.70276409551916
