City,County,Name,Phone,Street1
CitySort ascendingSort descending,CountySort ascendingSort descending,NameSort ascendingSort descending,PhoneSort ascendingSort descending,Street1Sort ascendingSort descending
Stuttgart,Arkansas,Bethea Brothers Drug Company Inc. (Coker Hampton),870-673-2691,218 South Main Street
Wynne,Cross,Caldwell Pharmacy,870-238-7085,804 South Falls Boulevard
Manila,Mississippi,"Delta Drug, Inc.",870-561-3113,257 S. Hwy 18 Bypass
Fairfield Bay,Van Buren,Fairfield Bay Pharmacy,501-884-3388,367 Dave Creek Parkway
Monette,Craighead,McFarlin Pharmacy Inc,870-486-5220,101 West Drew Street
Jonesboro,Craighead,Super V Drugs,870-972-6470,1000-A East Matthews
Berryville,Carroll,Economy Drug,870-423-2094,1006 W. Trimble
Leachville,Craighead,Southern Pharmacy of Arkansas- Leachville,870-539-6831,109 South Main
Lepanto,Poinsett,Southern Pharmacy of Arkansas- Lepanto,870-475-2617,730 Greenwood Avenue
Lake City,Craighead,Southern Pharmacy of Arkansas - Lake City,870-237-8010,803 Highway 18
Jonesboro,Craighead,Southern Pharmacy of Arkansas- Jonesboro,870-972-1751,3001 Apache Drive
Marked Tree,Poinsett,Southern Pharmacy of Arkansas- Marked Tree,870-358-2135,203 Newsome Drive
Monette,Craighead,Southern Pharmacy- Monette,870-486-2111,214 West Drew Avenue
Little Rock,Pulaski,Cornerstone Pharmacy at Chenal,501-821-2300,16115 Saint Vincent Way
Prairie Grove,Washington,Collier Drug Prairie Grove,479-846-2195,801 E Douglas
Fayetteville,Washington,Collier Drug North Hills,479-443-9200,3380 N Futrall Drive
Centerton,Benton,Collier Drug Centerton,479-795-8199,991 W Centerton Blvd
Fayetteville,Washington,Collier Drug Elkins,479-442-6060,2491 N Center St
Springdale,Washington,Collier Drug Willow Creek,479-521-7876,5201 Willow Creek Drive
Springdale,Washington,Collier Drug Harber,479-361-5727,171 N Maestri Road
Farmington,Washington,Collier Drug Farmington,479-267-4303,197 E Main
Fayetteville,Washington,Collier Drug Dickson,479-442-6262,100 W. Dickson
Little Rock,Pulaski,The Pharmacy at Wellington,501-708-4320,15400 Chenal Parkway
Hot Springs,Garland,Smith Drug and Compounding- Mercy Lane,501-624-2900,1 Mercy Lane
Hot Springs,Garland,Smith Drug and Compounding- Airport Rd.,501-767-2220,1629 Airport Rd.
Conway,Faulkner,Cornerstone Pharmacy Conway,501-328-3282,815 Hogan Lane
North Little Rock,Pulaski,Cornerstone Pharmacy Rose City,501-945-3264,4307 E. Broadway St
Jonesboro,Craighead,St. Bernards Medical Center,870-207-4260,225 E Washington Ave
Fayetteville,Washington,Washington Regional Medical Center,479-463-1000,3215 N North Hills
Jonesboro,Craighead,NEA Baptist- Jonesboro,870-936-0100,4200 East Johnson Ave
Springdale,Washington,Premier Pharmacy NWA,479-927-6100,834 E. Henri De Tonti Blvd.
North Little Rock,Pulaski,Premier Pharmacy NLR,501-992-1006,760 Michaela Dr.
North Little Rock,Pulaski,Cornerstone Pharmacy Lakewood,501-353-1984,2609 McCain Blvd
Fayetteville,Washington,Medical Arts Pharmacy,479-443-3411,2515 E. Huntsville Rd
West Memphis,Arkansas,Baptist Heatlh Crittenden (west memphis),870-394-7800,2100 North 7th Street
Little Rock,Pulaski,UAMS Health Family Medical Clinic,501-686-6560,521 Jack Stephens
Little Rock,Pulaski,UAMS- Rahling Road,501-214-2360,1811 Rahling Road
Little Rock,Pulaski,UAMS Capitol Mall Neighborhood Clinic,501-320-7000,"1401 W. Capitol Avenue, Plaza E"
Batesville,Independence,UAMS Central Family Medical,870-793-2540,1993 Harrison St
Maumelle,Pulaski,UAMS Neighborhood Clinic- Maumelle,501-614-2470,102 Town Centre
Fort Smith,Sebastian,UAMS West- Fort Smith,479-785-2431,1301 south E street
helena,Phillips,UAMS Family Medical Clinic East,870-572-6507,1393 hwy 242 south
Texarkana,Miller,UAMS Texarkana,870-779-6000,3417 U of A Way
Magnolia,Columbia,UAMS Family Medical Clinic Magnolia,870-234-7676,1617 N Washington
Pine Bluff,Jefferson,UAMS South Central Pine Bluff,870-541-6000,1601 West 40th Avenue
Jonesboro,Craighead,UAMS Jonesboro,870-972-0063,311 East Matthews
Little Rock,Pulaski,UAMS Health Financial Centre Parkway Neighborhood Clinic,501-614-2340,11300 Financial Centre Parkway
Little Rock,Arkansas,UAMS Outpatient Pharmacy,501-686-5530,4110 Outpatient Circle
Little Rock,Pulaski,UAMS Inpatient Pharmacy,501-686-6224,4301 West Markham Street
Des Arc,Prairie,Prairie County Health Unit,870-256-4430,204  Main St
Malvern,Hot Spring,Hot Spring County Health Unit,501-332-6974,2204 W Sullenberger Ave
DeWitt,Arkansas,Arkansas County Health Unit-DeWitt,870-946-2934,1616 South Madison
Marianna,Lee,Lee County Health Unit,870-295-2400,141 North Hicky
Bakerville,Independence,Independence County Health Unit,870-793-8847,120 Weaver Ave
North Little Rock,Pulaski,Pulaski County Health Unit - NLR,501-791-8551,2800 Willow St
Pine Bluff,Jefferson,Jefferson County Health Unit,870-353-2142,2306 Rike Drive
Brinkley,Monroe,Monroe County Health Unit,870-734-1461,306 Martin Luther King Drive
Newport,Jackson,Jackson County Health Unit,870-523-8968,1505 N. Pecan St.
Monticello,Drew,Drew County Health Unit,870-367-6234,940 Scogin Drive
Hope,Hempstead,Hempstead County Health Unit,870-777-2191,808 W 5th Street
Ashdown,Little River,Little River Health Unit,870-898-3891,150 Keller Street
Augusta,Woodruff,Woodruff County Health Unit,870-347-5861,623 N. 9th St.
Mens,Polk,Polk County Health Unit,479-394-2707,702 Hornbeck
Blytheville,Mississippi,Mississippi County Health Unit - Blytheville,870-763-7064,1299 North 10th Street
DeQueen,Sevier,Sevier County Health Unit,870-642-2535,304 N. 4th Street
Little Rock,Pulaski,Arkansas Department of Health,501-661-2723,4815 W. Markham St.
Earle,Crittenden,Crittenden County Health Unit- Earle,870-735-4334,841 Keith St
Wynne,Cross,Cross County Health Unit,870-238-2101,701 Julia Ave East
Lonoke,Lonoke,Lonoke County Health Unit - Lonoke,501-676-2268,306 North Center St.
El Dorado,Union,Union County Health Unit,870-863-5101,301 American Road
Fordyce,Dallas,Dallas County Health Unit,870-352-7197,201 N. Spring Street
Springdale,Washington,Bates Outreach Clinic-Springdale,479-751-3630,614 E. Emma Avenue
Murfreesboro,Pike,Pike County Health Unit,870-285-3154,15 Cadoo Dr
Dumas,Desha,Desha County Health Unit - Dumas,870-382-2377,751 Hwy 65 South
Harrisburg,Poinsett,Poinsett County Health Unit- Harrisburg,870-578-4480,119 N. Main
Cabot,Lonoke,Lonoke County Health Unit - Cabot,501-843-7561,118 south 1st Street
Magnolia,Columbia,Columbia County Health Unit,870-235-3798,207 S. Jefferson
Lake Village,Arkansas,Chicot County Health Unit,870-830-9373,1742 Hwy 65 and 82 South
Forrest City,St. Francis,St. Francis County Health Unit,870-633-1340,413 North Division St
Pocahontas,Randolph,Randolph County Health Unit,870-892-5239,1304 Pace Rd.
